"Banner","Sum_final"
Raiden Shogun,92556178.18
Kamisato Ayaka,77790413.81
Zhongli,73042546.56
Venti,72073701.21
Hu Tao,61393403.31
Yelan,55765390.29
Nahida,54504666.31
Tartaglia,52388492.15
Kaedehara Kazuha,47778285.21
Xiao,41531708.92
Yae Miko,41156324.92
Ganyu,40276589.57
Klee,37291190.19
Yoimiya,37027358.64
Arataki Itto,34047371.74
Eula,33271620.48
Sangonomiya Kokomi,30833707.85
Albedo,30477786.39
Wanderer,29714769.58
Furina,28279912.89
Kamisato Ayato,27877946.20
Shenhe,25235663.98
Neuvillette,24676447.47
Nilou,24157723.31
Cyno,22053836.43
Alhaitham,21647325.78
Navia,15753735.59
Wriothesley,14164705.98
Baizhu,12647074.82
Keqing,11218012.00
Xianyun,10292692.89
Dehya,9095524.44
Tighnari,8151630.50
Lyney,7692814.65
